Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
279527,Minor injury,October,10,Thursday,4,18,Rear-end,Multi-Vehicle,-27.65149745,153.040816,4116,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
279707,Hospitalisation,December,12,Sunday,7,15,Hit object,Single Vehicle,-27.64190744,152.990896,4110,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
281431,Hospitalisation,July,7,Wednesday,3,18,Rear-end,Multi-Vehicle,-27.51435045,153.042722,4120,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,4,04,Rear-end
281534,Medical treatment,December,12,Saturday,6,22,Angle,Multi-Vehicle,-27.58639745,153.103154,4113,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,03,Opposing Vehicles Turning
282349,Medical treatment,August,8,Wednesday,3,20,Rear-end,Multi-Vehicle,-27.53361345,153.057902,4121,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Level,3,04,Rear-end
282358,Medical treatment,August,8,Friday,5,13,Hit object,Single Vehicle,-27.57437544,152.952986,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,1,16,Off Carriageway on Straight Hit Object
282388,Minor injury,April,4,Monday,1,12,Hit object,Single Vehicle,-27.55893446,153.170803,4156,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,1,19,Off Carriageway on Curve Hit Object
282389,Hospitalisation,December,12,Thursday,4,13,Angle,Multi-Vehicle,-27.46339546,153.144944,4178,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,03,Opposing Vehicles Turning
282717,Hospitalisation,June,6,Friday,5,22,Hit object,Single Vehicle,-27.29521145,153.0487551,4017,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
283482,Medical treatment,July,7,Tuesday,2,6,Sideswipe,Multi-Vehicle,-27.46533945,153.114125,4173,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,3,05,Lane Change
283506,Medical treatment,July,7,Wednesday,3,17,Rear-end,Multi-Vehicle,-27.50830246,153.125054,4153,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,2,04,Rear-end
303545,Medical treatment,May,5,Wednesday,3,4,Sideswipe,Multi-Vehicle,-27.57354144,152.955604,4076,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,2,05,Lane Change
304077,Minor injury,January,1,Sunday,7,9,Hit object,Single Vehicle,-27.53896145,153.118185,4156,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Grade,1,19,Off Carriageway on Curve Hit Object
